id,name,type,uid,token
paragon,Paragon,comeet,76.006,
guesty,Guesty,comeet,10.000,
sensi,Sensi.AI,comeet,E7.00F,
noma_security,Noma Security,comeet,3A.005,
silk,Silk,comeet,F6.00C,
chargeflow,Chargeflow,comeet,29.001,
dealhub,DealHub,comeet,86.005,
tufin,Tufin,comeet,A1.00B,
viber,Viber (Rakuten Viber),comeet,04.002,
4manalytics,4M Analytics,comeet,B6.00F,
okoora,Okoora,comeet,85.00C,
naturalint,Natural Intelligence,comeet,71.001,
doorloop,DoorLoop,comeet,0A.006,
hub-technologies,HUB Technologies,comeet,07.00F,
stampli,Stampli,comeet,F6.007,
esh,esh,comeet,87.003,
eitanmedical,Eitan Medical,comeet,C6.00F,
insightec,Insightec,comeet,4A.004,
dreamgroup,Dream,comeet,99.002,
navina,Navina,comeet,E6.00C,
nagomisecurity,Nagomi Security,comeet,89.00B,
nominal,Nominal,comeet,E8.003,
vastdata,VAST Data,comeet,43.001,
riverside-fm,Riverside.fm,comeet,66.009,
holisto,HOLISTO (trivago),comeet,76.001,
hunters,Hunters,comeet,67.007,
promptsecurity,Prompt Security,comeet,1A.008,
personetics,Personetics,comeet,83.00A,
oligosecurity,Oligo Security,comeet,5A.00B,
claroty,Claroty,comeet,F2.004,
cujo,CUJO AI,comeet,C4.005,
elementor,Elementor,comeet,A3.00F

